Check_ID,Equipment_ID,Result,Inspector_Notes,Inspection_Date
1,1,Pass,Equipment functioning within acceptable parameters,2024-05-31
2,2,Conditional Pass,"Critical issues found, immediate attention required",2024-10-10
3,3,Conditional Pass,Calibration needed,2023-05-11
4,4,Fail,Safety mechanisms functioning properly,2024-06-18
5,5,Pass,Parts replacement recommended,2024-05-06
6,6,Pending Review,Calibration needed,2024-09-19
7,7,Conditional Pass,"Critical issues found, immediate attention required",2024-05-13
8,8,Fail,Wear and tear detected on moving parts,2024-03-30
9,9,Conditional Pass,Safety mechanisms functioning properly,2023-04-21
10,10,Fail,Software update required,2024-04-10
11,11,Conditional Pass,Safety mechanisms functioning properly,2024-11-17
12,12,Pass,"Minor issues detected, maintenance recommended",2024-02-18
13,13,Fail,Parts replacement recommended,2023-09-29
14,14,Fail,Equipment functioning within acceptable parameters,2023-05-30
15,15,Fail,No issues found,2024-08-31
16,16,Conditional Pass,No issues found,2024-04-17
17,17,Fail,Software update required,2024-07-17
18,18,Conditional Pass,"Minor issues detected, maintenance recommended",2023-11-01
19,19,Pass,Calibration needed,2024-02-12
20,20,Fail,Parts replacement recommended,2025-01-20
21,21,Pass,Wear and tear detected on moving parts,2024-09-26
22,22,Conditional Pass,Equipment functioning within acceptable parameters,2024-09-17
23,23,Conditional Pass,"Critical issues found, immediate attention required",2024-11-22
24,24,Pending Review,Calibration needed,2025-01-11
25,25,Conditional Pass,Noise levels above threshold,2024-11-09
26,26,Pass,Wear and tear detected on moving parts,2024-11-21
27,27,Conditional Pass,Noise levels above threshold,2023-04-22
28,28,Pass,Calibration needed,2023-08-18
29,29,Pass,Safety mechanisms functioning properly,2024-09-24
30,30,Fail,"Minor issues detected, maintenance recommended",2025-01-08
31,31,Pending Review,Wear and tear detected on moving parts,2024-11-02
32,32,Conditional Pass,Safety mechanisms functioning properly,2024-08-14
33,33,Pending Review,"Minor issues detected, maintenance recommended",2025-03-23
34,34,Conditional Pass,Parts replacement recommended,2024-02-07
35,35,Pass,Parts replacement recommended,2023-08-05
36,36,Pass,Parts replacement recommended,2024-02-27
37,37,Fail,Calibration needed,2023-09-02
38,38,Pending Review,No issues found,2024-11-29
39,39,Pass,Safety mechanisms functioning properly,2024-09-24
40,40,Fail,No issues found,2024-12-02
41,41,Pending Review,Software update required,2024-02-04
42,42,Conditional Pass,Wear and tear detected on moving parts,2024-06-26
43,43,Pass,Wear and tear detected on moving parts,2024-08-01
44,44,Conditional Pass,"Minor issues detected, maintenance recommended",2024-05-27
45,45,Pass,"Minor issues detected, maintenance recommended",2023-10-28
46,46,Conditional Pass,No issues found,2023-09-21
47,47,Pass,Wear and tear detected on moving parts,2024-12-12
48,48,Fail,Parts replacement recommended,2024-09-16
49,49,Pass,"Critical issues found, immediate attention required",2024-07-12
50,50,Conditional Pass,Software update required,2024-03-22
51,51,Fail,Calibration needed,2024-07-25
52,52,Conditional Pass,Noise levels above threshold,2024-10-22
53,53,Conditional Pass,Parts replacement recommended,2024-04-09
54,54,Conditional Pass,"Minor issues detected, maintenance recommended",2023-10-14
55,55,Pass,No issues found,2023-04-18
56,56,Fail,Software update required,2024-02-05
57,57,Pending Review,Equipment functioning within acceptable parameters,2023-08-31
58,58,Pending Review,Equipment functioning within acceptable parameters,2024-12-07
59,59,Conditional Pass,"Critical issues found, immediate attention required",2024-11-13
60,60,Fail,Noise levels above threshold,2024-10-08
61,61,Fail,"Critical issues found, immediate attention required",2025-02-09
62,62,Fail,Safety mechanisms functioning properly,2023-06-28
63,63,Conditional Pass,"Minor issues detected, maintenance recommended",2024-06-20
64,64,Conditional Pass,Safety mechanisms functioning properly,2024-04-26
65,65,Pending Review,Parts replacement recommended,2023-08-17
66,66,Conditional Pass,Noise levels above threshold,2024-10-05
67,67,Pass,"Critical issues found, immediate attention required",2023-09-02
68,68,Pass,Equipment functioning within acceptable parameters,2024-10-15
69,69,Conditional Pass,Equipment functioning within acceptable parameters,2024-08-10
70,70,Pending Review,Equipment functioning within acceptable parameters,2023-06-04
71,71,Pass,Noise levels above threshold,2023-04-21
72,72,Conditional Pass,Equipment functioning within acceptable parameters,2025-01-07
73,73,Fail,Equipment functioning within acceptable parameters,2023-06-01
74,74,Fail,"Critical issues found, immediate attention required",2025-02-11
75,75,Fail,Calibration needed,2024-08-20
76,76,Conditional Pass,"Critical issues found, immediate attention required",2024-08-31
77,77,Pass,Wear and tear detected on moving parts,2024-05-10
78,78,Fail,No issues found,2024-01-02
79,79,Fail,Parts replacement recommended,2024-09-13
80,80,Conditional Pass,Safety mechanisms functioning properly,2024-04-09
81,81,Pending Review,Calibration needed,2024-01-09
82,82,Pending Review,Safety mechanisms functioning properly,2023-07-31
83,83,Pending Review,Software update required,2024-01-14
84,84,Conditional Pass,Noise levels above threshold,2024-12-01
85,85,Fail,Software update required,2023-08-07
86,86,Fail,Parts replacement recommended,2024-11-28
87,87,Pass,Safety mechanisms functioning properly,2024-01-11
88,88,Fail,Parts replacement recommended,2024-08-21
89,89,Pending Review,"Minor issues detected, maintenance recommended",2024-12-16
90,90,Fail,"Critical issues found, immediate attention required",2023-05-06
91,91,Fail,No issues found,2024-11-28
92,92,Fail,Equipment functioning within acceptable parameters,2023-09-02
93,93,Pending Review,Wear and tear detected on moving parts,2023-10-30
94,94,Fail,"Critical issues found, immediate attention required",2023-08-24
95,95,Fail,"Minor issues detected, maintenance recommended",2024-01-06
96,96,Pass,Wear and tear detected on moving parts,2023-04-11
97,97,Fail,Parts replacement recommended,2024-02-25
98,98,Pending Review,Wear and tear detected on moving parts,2024-05-08
99,99,Pending Review,No issues found,2024-05-22
100,100,Pending Review,Equipment functioning within acceptable parameters,2024-09-13
101,101,Pass,Parts replacement recommended,2023-10-21
102,102,Fail,"Critical issues found, immediate attention required",2024-02-23
103,103,Pending Review,Noise levels above threshold,2024-04-10
104,104,Pass,Software update required,2025-03-11
105,105,Pass,"Minor issues detected, maintenance recommended",2024-05-01
106,106,Fail,Calibration needed,2023-11-04
107,107,Pass,Wear and tear detected on moving parts,2023-08-29
108,108,Fail,Wear and tear detected on moving parts,2024-12-04
109,109,Pass,Software update required,2023-06-09
110,110,Pass,Noise levels above threshold,2023-05-07
111,111,Fail,Equipment functioning within acceptable parameters,2025-02-20
112,112,Pending Review,Parts replacement recommended,2023-11-14
113,113,Pending Review,Software update required,2023-10-16
114,114,Fail,Equipment functioning within acceptable parameters,2025-01-16
115,115,Fail,No issues found,2024-03-05
116,116,Pending Review,Safety mechanisms functioning properly,2024-09-07
117,117,Pending Review,Equipment functioning within acceptable parameters,2025-01-12
118,118,Pending Review,Calibration needed,2024-08-18
119,119,Pass,No issues found,2023-05-05
120,120,Fail,Software update required,2024-06-04
121,121,Pending Review,Noise levels above threshold,2024-03-17
122,122,Conditional Pass,No issues found,2023-04-27
123,123,Fail,No issues found,2023-05-20
124,124,Fail,Parts replacement recommended,2023-07-15
125,125,Conditional Pass,Noise levels above threshold,2023-11-17
126,126,Conditional Pass,Wear and tear detected on moving parts,2024-09-18
127,127,Fail,Calibration needed,2024-01-11
128,128,Pass,Wear and tear detected on moving parts,2023-12-26
129,129,Pass,"Critical issues found, immediate attention required",2024-06-29
130,130,Conditional Pass,Wear and tear detected on moving parts,2023-12-23
131,131,Fail,Calibration needed,2024-12-22
132,132,Pass,Software update required,2024-04-09
133,133,Fail,Software update required,2023-11-27
134,134,Pending Review,Parts replacement recommended,2025-03-05
135,135,Fail,No issues found,2023-08-25
136,136,Pass,"Minor issues detected, maintenance recommended",2025-01-08
137,137,Pass,Equipment functioning within acceptable parameters,2024-02-11
138,138,Fail,No issues found,2023-10-01
139,139,Conditional Pass,Wear and tear detected on moving parts,2024-01-05
140,140,Pending Review,Parts replacement recommended,2025-03-01
141,141,Pending Review,Software update required,2024-09-11
142,142,Fail,Software update required,2023-07-06
143,143,Pending Review,Noise levels above threshold,2025-03-18
144,144,Conditional Pass,Wear and tear detected on moving parts,2023-05-10
145,145,Pass,No issues found,2024-11-03
146,146,Fail,Noise levels above threshold,2023-06-26
147,147,Pass,Safety mechanisms functioning properly,2025-03-15
148,148,Conditional Pass,Wear and tear detected on moving parts,2023-08-31
149,149,Fail,No issues found,2024-07-06
150,150,Fail,"Critical issues found, immediate attention required",2025-03-11
151,151,Pending Review,Equipment functioning within acceptable parameters,2023-10-28
152,152,Pass,"Critical issues found, immediate attention required",2023-07-11
153,153,Pass,No issues found,2023-10-18
154,154,Conditional Pass,Parts replacement recommended,2023-06-02
155,155,Pass,Parts replacement recommended,2023-05-19
156,156,Pass,Noise levels above threshold,2023-08-20
157,157,Pass,No issues found,2024-05-04
158,158,Pending Review,Noise levels above threshold,2023-08-27
159,159,Pass,"Critical issues found, immediate attention required",2024-03-31
160,160,Fail,No issues found,2024-03-02
161,161,Conditional Pass,Equipment functioning within acceptable parameters,2024-07-10
162,162,Conditional Pass,Wear and tear detected on moving parts,2024-07-15
163,163,Fail,Safety mechanisms functioning properly,2025-03-21
164,164,Fail,No issues found,2024-06-21
165,165,Fail,Noise levels above threshold,2023-08-13
166,166,Pass,"Critical issues found, immediate attention required",2025-01-08
167,167,Pending Review,"Critical issues found, immediate attention required",2024-04-02
168,168,Pending Review,Wear and tear detected on moving parts,2024-12-19
169,169,Conditional Pass,Noise levels above threshold,2024-02-24
170,170,Conditional Pass,Noise levels above threshold,2023-11-01
171,171,Conditional Pass,Calibration needed,2023-10-21
172,172,Pending Review,Software update required,2023-04-16
173,173,Conditional Pass,No issues found,2024-07-06
174,174,Pending Review,Calibration needed,2023-05-15
175,175,Conditional Pass,Safety mechanisms functioning properly,2024-06-15
176,176,Pass,Safety mechanisms functioning properly,2024-03-06
177,177,Pass,Wear and tear detected on moving parts,2024-12-17
178,178,Pass,"Critical issues found, immediate attention required",2025-01-09
179,179,Fail,Software update required,2024-09-28
180,180,Fail,Noise levels above threshold,2025-01-17
181,181,Conditional Pass,Noise levels above threshold,2024-08-03
182,182,Conditional Pass,Software update required,2024-03-12
183,183,Pass,"Critical issues found, immediate attention required",2023-12-07
184,184,Pending Review,"Minor issues detected, maintenance recommended",2023-06-02
185,185,Conditional Pass,Parts replacement recommended,2025-02-01
186,186,Pass,Noise levels above threshold,2025-02-08
187,187,Pending Review,Software update required,2024-05-17
188,188,Pass,Software update required,2023-12-30
189,189,Conditional Pass,"Minor issues detected, maintenance recommended",2024-09-01
190,190,Conditional Pass,"Critical issues found, immediate attention required",2023-10-28
191,191,Pending Review,"Critical issues found, immediate attention required",2024-07-25
192,192,Fail,Safety mechanisms functioning properly,2023-11-18
193,193,Pending Review,Calibration needed,2024-07-30
194,194,Pending Review,Calibration needed,2025-03-08
195,195,Pending Review,Noise levels above threshold,2024-12-05
196,196,Conditional Pass,Safety mechanisms functioning properly,2024-08-22
197,197,Conditional Pass,Parts replacement recommended,2023-05-30
198,198,Pending Review,Wear and tear detected on moving parts,2025-01-01
199,199,Pass,No issues found,2025-03-07
200,200,Fail,"Minor issues detected, maintenance recommended",2024-04-25
201,201,Pass,Parts replacement recommended,2023-08-12
202,202,Pending Review,"Minor issues detected, maintenance recommended",2024-10-02
203,203,Conditional Pass,"Critical issues found, immediate attention required",2025-01-11
204,204,Conditional Pass,Equipment functioning within acceptable parameters,2024-07-08
205,205,Conditional Pass,Safety mechanisms functioning properly,2024-08-18
206,206,Pass,Calibration needed,2024-03-04
207,207,Pending Review,Equipment functioning within acceptable parameters,2023-08-13
208,208,Conditional Pass,Safety mechanisms functioning properly,2023-06-12
209,209,Pending Review,Noise levels above threshold,2024-11-20
210,210,Pending Review,No issues found,2024-08-28
211,211,Fail,Safety mechanisms functioning properly,2023-10-16
212,212,Fail,"Minor issues detected, maintenance recommended",2023-09-04
213,213,Fail,Parts replacement recommended,2025-03-21
214,214,Conditional Pass,Noise levels above threshold,2024-06-14
215,215,Pending Review,Calibration needed,2023-09-13
216,216,Fail,"Critical issues found, immediate attention required",2025-03-06
217,217,Fail,Parts replacement recommended,2024-08-05
218,218,Conditional Pass,Equipment functioning within acceptable parameters,2024-02-11
219,219,Fail,"Critical issues found, immediate attention required",2024-07-04
220,220,Conditional Pass,Calibration needed,2024-08-27
221,221,Fail,Calibration needed,2023-12-28
222,222,Conditional Pass,"Critical issues found, immediate attention required",2024-02-27
223,223,Pending Review,"Minor issues detected, maintenance recommended",2023-08-13
224,224,Conditional Pass,No issues found,2024-06-14
225,225,Pending Review,Equipment functioning within acceptable parameters,2024-01-02
226,226,Fail,Parts replacement recommended,2024-01-25
227,227,Fail,Wear and tear detected on moving parts,2024-08-19
228,228,Conditional Pass,Wear and tear detected on moving parts,2024-05-13
229,229,Pass,No issues found,2024-02-03
230,230,Pending Review,No issues found,2023-05-07
231,231,Pass,"Critical issues found, immediate attention required",2024-05-18
232,232,Conditional Pass,No issues found,2023-10-01
233,233,Pass,No issues found,2023-04-18
234,234,Conditional Pass,Calibration needed,2025-01-27
235,235,Fail,"Minor issues detected, maintenance recommended",2023-04-09
236,236,Pass,"Critical issues found, immediate attention required",2023-09-24
237,237,Pass,Safety mechanisms functioning properly,2025-01-28
238,238,Pending Review,Software update required,2024-03-07
239,239,Fail,Noise levels above threshold,2023-08-17
240,240,Fail,Software update required,2023-09-16
241,241,Pass,Parts replacement recommended,2023-10-13
242,242,Fail,Equipment functioning within acceptable parameters,2023-12-15
243,243,Fail,Parts replacement recommended,2024-04-17
244,244,Pending Review,No issues found,2024-05-23
245,245,Conditional Pass,"Critical issues found, immediate attention required",2023-09-30
246,246,Pass,Calibration needed,2023-07-08
247,247,Conditional Pass,Parts replacement recommended,2025-04-05
248,248,Conditional Pass,No issues found,2023-12-05
249,249,Fail,Software update required,2024-04-27
250,250,Conditional Pass,Safety mechanisms functioning properly,2023-04-14
251,251,Pass,Safety mechanisms functioning properly,2024-03-09
252,252,Fail,Wear and tear detected on moving parts,2025-03-27
253,253,Pending Review,Equipment functioning within acceptable parameters,2024-10-27
254,254,Pass,Wear and tear detected on moving parts,2023-07-27
255,255,Conditional Pass,"Critical issues found, immediate attention required",2024-07-30
256,256,Pending Review,Software update required,2023-07-25
257,257,Pass,No issues found,2023-05-15
258,258,Fail,Software update required,2023-05-16
259,259,Pass,No issues found,2025-01-12
260,260,Conditional Pass,"Minor issues detected, maintenance recommended",2025-01-29
261,261,Pass,Safety mechanisms functioning properly,2024-11-09
262,262,Conditional Pass,No issues found,2023-05-31
263,263,Pending Review,Equipment functioning within acceptable parameters,2025-02-18
264,264,Conditional Pass,Software update required,2023-07-05
265,265,Fail,Software update required,2024-04-15
266,266,Fail,Wear and tear detected on moving parts,2024-01-14
267,267,Fail,Noise levels above threshold,2024-02-19
268,268,Fail,Safety mechanisms functioning properly,2024-03-11
269,269,Conditional Pass,Software update required,2024-11-03
270,270,Pending Review,No issues found,2024-12-12
271,271,Pass,"Critical issues found, immediate attention required",2023-05-15
272,272,Conditional Pass,Calibration needed,2024-02-02
273,273,Pass,Safety mechanisms functioning properly,2024-03-28
274,274,Conditional Pass,Parts replacement recommended,2024-07-17
275,275,Fail,Wear and tear detected on moving parts,2024-06-16
276,276,Fail,Equipment functioning within acceptable parameters,2023-10-04
277,277,Fail,"Critical issues found, immediate attention required",2023-08-21
278,278,Pending Review,Parts replacement recommended,2023-04-30
279,279,Pending Review,Noise levels above threshold,2024-12-07
280,280,Pass,Safety mechanisms functioning properly,2023-06-12
281,281,Pass,Software update required,2025-02-19
282,282,Pending Review,Noise levels above threshold,2023-07-19
283,283,Conditional Pass,"Minor issues detected, maintenance recommended",2025-03-15
284,284,Pass,"Minor issues detected, maintenance recommended",2023-06-03
285,285,Pass,Noise levels above threshold,2024-09-21
286,286,Pass,Calibration needed,2024-10-26
287,287,Conditional Pass,Parts replacement recommended,2023-04-20
288,288,Fail,Calibration needed,2024-10-01
289,289,Fail,No issues found,2024-07-31
290,290,Conditional Pass,"Minor issues detected, maintenance recommended",2024-03-13
291,291,Pending Review,Wear and tear detected on moving parts,2025-04-04
292,292,Pending Review,Equipment functioning within acceptable parameters,2024-06-07
293,293,Fail,Calibration needed,2025-02-11
294,294,Fail,Noise levels above threshold,2024-09-08
295,295,Fail,"Critical issues found, immediate attention required",2023-04-15
296,296,Pass,"Minor issues detected, maintenance recommended",2023-05-08
297,297,Pass,No issues found,2025-01-18
298,298,Pending Review,Wear and tear detected on moving parts,2023-12-14
299,299,Conditional Pass,Noise levels above threshold,2023-05-12
300,300,Conditional Pass,Calibration needed,2024-12-07
301,301,Fail,Equipment functioning within acceptable parameters,2024-01-07
302,302,Pending Review,Wear and tear detected on moving parts,2024-10-27
303,303,Fail,Wear and tear detected on moving parts,2023-10-01
304,304,Pending Review,Noise levels above threshold,2023-05-10
305,305,Conditional Pass,Noise levels above threshold,2023-10-25
306,306,Fail,Safety mechanisms functioning properly,2023-07-06
307,307,Conditional Pass,"Critical issues found, immediate attention required",2024-06-22
308,308,Conditional Pass,Wear and tear detected on moving parts,2023-11-20
309,309,Conditional Pass,Equipment functioning within acceptable parameters,2023-11-08
310,310,Conditional Pass,"Minor issues detected, maintenance recommended",2024-10-28
311,311,Conditional Pass,Noise levels above threshold,2024-12-17
312,312,Fail,"Minor issues detected, maintenance recommended",2025-03-13
313,313,Pending Review,Parts replacement recommended,2023-06-27
314,314,Pass,Parts replacement recommended,2025-02-09
315,315,Pending Review,Equipment functioning within acceptable parameters,2025-01-06
316,316,Pending Review,Safety mechanisms functioning properly,2024-07-02
317,317,Pending Review,Safety mechanisms functioning properly,2023-06-02
318,318,Fail,"Minor issues detected, maintenance recommended",2024-06-11
319,319,Conditional Pass,Parts replacement recommended,2023-05-28
320,320,Fail,"Minor issues detected, maintenance recommended",2024-06-27
321,321,Pass,Wear and tear detected on moving parts,2024-08-03
322,322,Fail,"Critical issues found, immediate attention required",2024-01-28
323,323,Pending Review,Equipment functioning within acceptable parameters,2024-07-22
324,324,Fail,Software update required,2024-06-19
325,325,Fail,Calibration needed,2023-10-24
326,326,Pass,Software update required,2025-01-13
327,327,Conditional Pass,Safety mechanisms functioning properly,2023-09-21
328,328,Fail,Calibration needed,2023-09-20
329,329,Pass,Parts replacement recommended,2025-01-13
330,330,Pending Review,Noise levels above threshold,2023-07-28
331,331,Fail,"Minor issues detected, maintenance recommended",2024-10-02
332,332,Pass,Software update required,2023-09-06
333,333,Conditional Pass,Equipment functioning within acceptable parameters,2024-10-22
334,334,Pending Review,"Minor issues detected, maintenance recommended",2023-05-31
335,335,Pending Review,Parts replacement recommended,2024-11-20
336,336,Conditional Pass,Equipment functioning within acceptable parameters,2024-06-30
337,337,Fail,"Minor issues detected, maintenance recommended",2023-07-11
338,338,Conditional Pass,Safety mechanisms functioning properly,2024-07-30
339,339,Pending Review,Wear and tear detected on moving parts,2025-01-11
340,340,Fail,"Minor issues detected, maintenance recommended",2024-05-27
341,341,Fail,"Critical issues found, immediate attention required",2023-05-17
342,342,Conditional Pass,Noise levels above threshold,2024-09-13
343,343,Fail,Equipment functioning within acceptable parameters,2024-02-17
344,344,Fail,Equipment functioning within acceptable parameters,2024-09-23
345,345,Pass,Wear and tear detected on moving parts,2024-03-07
346,346,Pending Review,Parts replacement recommended,2023-08-23
347,347,Pending Review,Parts replacement recommended,2024-02-13
348,348,Fail,No issues found,2024-05-16
349,349,Conditional Pass,Safety mechanisms functioning properly,2024-06-04
350,350,Fail,Equipment functioning within acceptable parameters,2023-04-21
351,351,Conditional Pass,"Minor issues detected, maintenance recommended",2024-01-14
352,352,Conditional Pass,Software update required,2024-10-20
353,353,Fail,"Minor issues detected, maintenance recommended",2024-06-18
354,354,Pass,Parts replacement recommended,2023-07-16
355,355,Fail,No issues found,2025-03-01
356,356,Fail,Wear and tear detected on moving parts,2023-12-27
357,357,Pending Review,Safety mechanisms functioning properly,2024-03-15
358,358,Pass,Parts replacement recommended,2024-11-08
359,359,Conditional Pass,"Minor issues detected, maintenance recommended",2024-12-11
360,360,Pending Review,Calibration needed,2024-10-12
361,361,Pending Review,Calibration needed,2024-11-28
362,362,Conditional Pass,Parts replacement recommended,2024-12-20
363,363,Fail,"Minor issues detected, maintenance recommended",2023-10-10
364,364,Fail,"Critical issues found, immediate attention required",2024-11-30
365,365,Fail,Parts replacement recommended,2023-08-22
366,366,Fail,Wear and tear detected on moving parts,2024-02-16
367,367,Fail,"Critical issues found, immediate attention required",2023-12-02
368,368,Pending Review,Parts replacement recommended,2023-12-24
369,369,Pending Review,Wear and tear detected on moving parts,2024-11-23
370,370,Pending Review,No issues found,2025-03-07
371,371,Pass,Noise levels above threshold,2024-12-09
372,372,Pending Review,Noise levels above threshold,2025-04-03
373,373,Pass,Calibration needed,2024-01-15
374,374,Fail,No issues found,2024-02-26
375,375,Pass,Noise levels above threshold,2025-01-17
376,376,Pending Review,Noise levels above threshold,2023-11-02
377,377,Conditional Pass,Equipment functioning within acceptable parameters,2023-06-13
378,378,Fail,Wear and tear detected on moving parts,2024-08-17
379,379,Pending Review,Parts replacement recommended,2023-09-23
380,380,Conditional Pass,Noise levels above threshold,2023-12-18
381,381,Pending Review,Calibration needed,2025-01-07
382,382,Conditional Pass,Safety mechanisms functioning properly,2023-10-17
383,383,Fail,"Critical issues found, immediate attention required",2024-09-09
384,384,Fail,Safety mechanisms functioning properly,2025-01-14
385,385,Conditional Pass,Wear and tear detected on moving parts,2023-08-17
386,386,Pending Review,Calibration needed,2023-11-25
387,387,Pending Review,Wear and tear detected on moving parts,2023-05-12
388,388,Pass,Parts replacement recommended,2023-11-19
389,389,Pending Review,Software update required,2025-03-04
390,390,Fail,Noise levels above threshold,2023-10-23
391,391,Conditional Pass,No issues found,2025-01-09
392,392,Pass,Equipment functioning within acceptable parameters,2024-10-07
393,393,Conditional Pass,Calibration needed,2023-09-11
394,394,Pass,Equipment functioning within acceptable parameters,2023-12-06
395,395,Fail,Calibration needed,2024-09-19
396,396,Pending Review,Equipment functioning within acceptable parameters,2024-12-04
397,397,Conditional Pass,Software update required,2023-08-10
398,398,Pass,Safety mechanisms functioning properly,2023-08-15
399,399,Pending Review,Wear and tear detected on moving parts,2023-04-18
400,400,Pending Review,No issues found,2024-03-30
