Standard ID,Standard Name,Safety Requirements Description,Standard Level,Equipment Type
1,Noise Control,Regular checks for wear and tear to maintain mechanical safety.,International,Bench Press
2,Equipment Labeling,Ensure all equipment is properly grounded and free from electrical hazards.,International,Elliptical
3,Mechanical Integrity,Ensure all equipment is properly grounded and free from electrical hazards.,International,Elliptical
4,Structural Stability,Noise levels must remain within safe decibel ranges.,Local,Rowing Machine
5,Fire Prevention,Surfaces must have anti-slip materials installed.,International,Rowing Machine
6,Mechanical Integrity,Structures must be checked for durability and load limits.,International,Treadmill
7,Emergency Access,Implement fire extinguishers and alarms in appropriate locations.,International,Dumbbells
8,Structural Stability,Clear and accessible emergency exits with proper lighting.,Local,Treadmill
9,Structural Stability,Adequate airflow and air quality must be ensured.,Local,Treadmill
10,Fire Prevention,Adequate airflow and air quality must be ensured.,International,Rowing Machine
11,Mechanical Integrity,Surfaces must have anti-slip materials installed.,Local,Elliptical
12,Equipment Labeling,Regular checks for wear and tear to maintain mechanical safety.,International,Rowing Machine
13,Equipment Labeling,Noise levels must remain within safe decibel ranges.,Local,Bench Press
14,Equipment Labeling,All equipment must meet sanitation guidelines.,International,Elliptical
15,Emergency Access,All equipment must meet sanitation guidelines.,International,Dumbbells
16,Equipment Labeling,Structures must be checked for durability and load limits.,International,Bench Press
17,Mechanical Integrity,Structures must be checked for durability and load limits.,Local,Elliptical
18,Equipment Labeling,Surfaces must have anti-slip materials installed.,International,Rowing Machine
19,Noise Control,Clear and accessible emergency exits with proper lighting.,International,Bench Press
20,Emergency Access,Implement fire extinguishers and alarms in appropriate locations.,International,Treadmill
21,Mechanical Integrity,Noise levels must remain within safe decibel ranges.,Local,Treadmill
22,Emergency Access,Ensure all equipment is properly grounded and free from electrical hazards.,Local,Bench Press
23,Ventilation Standards,Structures must be checked for durability and load limits.,Local,Treadmill
24,Noise Control,Ensure all equipment is properly grounded and free from electrical hazards.,International,Rowing Machine
25,Fire Prevention,Ensure all equipment is properly grounded and free from electrical hazards.,Local,Rowing Machine
26,Emergency Access,Clear and accessible emergency exits with proper lighting.,Local,Bench Press
27,Fire Prevention,Surfaces must have anti-slip materials installed.,International,Rowing Machine
28,Ventilation Standards,Noise levels must remain within safe decibel ranges.,International,Elliptical
29,Electrical Safety,Noise levels must remain within safe decibel ranges.,Local,Elliptical
30,Structural Stability,Surfaces must have anti-slip materials installed.,Local,Treadmill
31,Sanitation Requirements,All equipment must be labeled with instructions and warnings.,Local,Rowing Machine
32,Fire Prevention,Ensure all equipment is properly grounded and free from electrical hazards.,International,Rowing Machine
33,Emergency Access,All equipment must meet sanitation guidelines.,International,Dumbbells
34,Emergency Access,Regular checks for wear and tear to maintain mechanical safety.,Local,Dumbbells
35,Emergency Access,Ensure all equipment is properly grounded and free from electrical hazards.,International,Rowing Machine
36,Mechanical Integrity,Structures must be checked for durability and load limits.,International,Dumbbells
37,Electrical Safety,Regular checks for wear and tear to maintain mechanical safety.,International,Rowing Machine
38,Emergency Access,Ensure all equipment is properly grounded and free from electrical hazards.,International,Dumbbells
39,Sanitation Requirements,Adequate airflow and air quality must be ensured.,International,Dumbbells
40,Slip Resistance,Surfaces must have anti-slip materials installed.,Local,Treadmill
41,Noise Control,Surfaces must have anti-slip materials installed.,International,Treadmill
42,Slip Resistance,Surfaces must have anti-slip materials installed.,Local,Elliptical
43,Noise Control,Noise levels must remain within safe decibel ranges.,Local,Dumbbells
44,Structural Stability,All equipment must meet sanitation guidelines.,International,Treadmill
45,Fire Prevention,Regular checks for wear and tear to maintain mechanical safety.,Local,Elliptical
46,Sanitation Requirements,Ensure all equipment is properly grounded and free from electrical hazards.,Local,Dumbbells
47,Structural Stability,All equipment must be labeled with instructions and warnings.,International,Bench Press
48,Emergency Access,Ensure all equipment is properly grounded and free from electrical hazards.,International,Rowing Machine
49,Slip Resistance,All equipment must meet sanitation guidelines.,International,Elliptical
50,Emergency Access,All equipment must meet sanitation guidelines.,International,Bench Press
51,Emergency Access,Ensure all equipment is properly grounded and free from electrical hazards.,International,Rowing Machine
52,Equipment Labeling,Surfaces must have anti-slip materials installed.,Local,Elliptical
53,Emergency Access,Surfaces must have anti-slip materials installed.,International,Dumbbells
54,Structural Stability,Regular checks for wear and tear to maintain mechanical safety.,International,Elliptical
55,Electrical Safety,Structures must be checked for durability and load limits.,Local,Treadmill
56,Equipment Labeling,Regular checks for wear and tear to maintain mechanical safety.,Local,Bench Press
57,Sanitation Requirements,All equipment must meet sanitation guidelines.,International,Elliptical
58,Electrical Safety,Structures must be checked for durability and load limits.,Local,Rowing Machine
59,Slip Resistance,Adequate airflow and air quality must be ensured.,International,Elliptical
60,Noise Control,Adequate airflow and air quality must be ensured.,Local,Dumbbells
61,Structural Stability,Ensure all equipment is properly grounded and free from electrical hazards.,Local,Treadmill
62,Mechanical Integrity,All equipment must meet sanitation guidelines.,International,Rowing Machine
63,Structural Stability,Ensure all equipment is properly grounded and free from electrical hazards.,International,Treadmill
64,Electrical Safety,Clear and accessible emergency exits with proper lighting.,Local,Bench Press
65,Equipment Labeling,All equipment must be labeled with instructions and warnings.,Local,Rowing Machine
66,Noise Control,All equipment must be labeled with instructions and warnings.,International,Dumbbells
67,Ventilation Standards,All equipment must meet sanitation guidelines.,International,Bench Press
68,Ventilation Standards,Ensure all equipment is properly grounded and free from electrical hazards.,Local,Treadmill
69,Equipment Labeling,Noise levels must remain within safe decibel ranges.,Local,Dumbbells
70,Electrical Safety,Regular checks for wear and tear to maintain mechanical safety.,Local,Elliptical
71,Structural Stability,Regular checks for wear and tear to maintain mechanical safety.,Local,Treadmill
72,Fire Prevention,Regular checks for wear and tear to maintain mechanical safety.,Local,Treadmill
73,Noise Control,Implement fire extinguishers and alarms in appropriate locations.,International,Bench Press
74,Ventilation Standards,Structures must be checked for durability and load limits.,International,Elliptical
75,Electrical Safety,Noise levels must remain within safe decibel ranges.,Local,Bench Press
76,Emergency Access,Ensure all equipment is properly grounded and free from electrical hazards.,International,Rowing Machine
77,Equipment Labeling,All equipment must meet sanitation guidelines.,Local,Rowing Machine
78,Equipment Labeling,All equipment must be labeled with instructions and warnings.,Local,Treadmill
79,Structural Stability,Adequate airflow and air quality must be ensured.,International,Rowing Machine
80,Slip Resistance,Clear and accessible emergency exits with proper lighting.,Local,Dumbbells
81,Slip Resistance,Adequate airflow and air quality must be ensured.,International,Dumbbells
82,Ventilation Standards,Clear and accessible emergency exits with proper lighting.,International,Treadmill
83,Equipment Labeling,Surfaces must have anti-slip materials installed.,Local,Rowing Machine
84,Fire Prevention,Implement fire extinguishers and alarms in appropriate locations.,Local,Rowing Machine
85,Slip Resistance,Structures must be checked for durability and load limits.,International,Dumbbells
86,Ventilation Standards,Structures must be checked for durability and load limits.,International,Bench Press
87,Ventilation Standards,Noise levels must remain within safe decibel ranges.,International,Dumbbells
88,Fire Prevention,Structures must be checked for durability and load limits.,International,Treadmill
89,Fire Prevention,Surfaces must have anti-slip materials installed.,International,Bench Press
90,Electrical Safety,Structures must be checked for durability and load limits.,Local,Elliptical
91,Electrical Safety,All equipment must be labeled with instructions and warnings.,International,Treadmill
92,Fire Prevention,All equipment must meet sanitation guidelines.,International,Dumbbells
93,Ventilation Standards,Surfaces must have anti-slip materials installed.,Local,Dumbbells
94,Ventilation Standards,All equipment must meet sanitation guidelines.,International,Elliptical
95,Equipment Labeling,Clear and accessible emergency exits with proper lighting.,Local,Bench Press
96,Mechanical Integrity,All equipment must be labeled with instructions and warnings.,International,Bench Press
97,Emergency Access,Structures must be checked for durability and load limits.,Local,Rowing Machine
98,Ventilation Standards,All equipment must meet sanitation guidelines.,International,Rowing Machine
99,Slip Resistance,Implement fire extinguishers and alarms in appropriate locations.,International,Bench Press
100,Emergency Access,Noise levels must remain within safe decibel ranges.,International,Treadmill
101,Fire Prevention,Implement fire extinguishers and alarms in appropriate locations.,International,Dumbbells
102,Structural Stability,All equipment must meet sanitation guidelines.,International,Elliptical
103,Slip Resistance,All equipment must meet sanitation guidelines.,Local,Elliptical
104,Fire Prevention,Adequate airflow and air quality must be ensured.,International,Dumbbells
105,Electrical Safety,Implement fire extinguishers and alarms in appropriate locations.,Local,Elliptical
106,Slip Resistance,Implement fire extinguishers and alarms in appropriate locations.,Local,Treadmill
107,Ventilation Standards,Regular checks for wear and tear to maintain mechanical safety.,International,Bench Press
108,Fire Prevention,Regular checks for wear and tear to maintain mechanical safety.,Local,Elliptical
109,Mechanical Integrity,Surfaces must have anti-slip materials installed.,Local,Elliptical
110,Electrical Safety,Structures must be checked for durability and load limits.,International,Rowing Machine
111,Noise Control,Surfaces must have anti-slip materials installed.,International,Bench Press
112,Structural Stability,Noise levels must remain within safe decibel ranges.,International,Bench Press
113,Structural Stability,Clear and accessible emergency exits with proper lighting.,International,Dumbbells
114,Sanitation Requirements,Ensure all equipment is properly grounded and free from electrical hazards.,International,Treadmill
115,Slip Resistance,All equipment must be labeled with instructions and warnings.,Local,Bench Press
116,Emergency Access,All equipment must be labeled with instructions and warnings.,Local,Elliptical
117,Sanitation Requirements,Structures must be checked for durability and load limits.,Local,Bench Press
118,Slip Resistance,Adequate airflow and air quality must be ensured.,International,Treadmill
119,Mechanical Integrity,Regular checks for wear and tear to maintain mechanical safety.,Local,Dumbbells
120,Mechanical Integrity,Ensure all equipment is properly grounded and free from electrical hazards.,Local,Dumbbells
121,Fire Prevention,Implement fire extinguishers and alarms in appropriate locations.,International,Treadmill
122,Sanitation Requirements,Surfaces must have anti-slip materials installed.,International,Bench Press
123,Equipment Labeling,Ensure all equipment is properly grounded and free from electrical hazards.,Local,Rowing Machine
124,Structural Stability,Adequate airflow and air quality must be ensured.,Local,Dumbbells
125,Electrical Safety,Regular checks for wear and tear to maintain mechanical safety.,Local,Treadmill
126,Emergency Access,Implement fire extinguishers and alarms in appropriate locations.,Local,Elliptical
127,Noise Control,Adequate airflow and air quality must be ensured.,Local,Treadmill
128,Ventilation Standards,All equipment must be labeled with instructions and warnings.,International,Elliptical
129,Mechanical Integrity,All equipment must meet sanitation guidelines.,Local,Elliptical
130,Mechanical Integrity,Clear and accessible emergency exits with proper lighting.,International,Bench Press
131,Structural Stability,Implement fire extinguishers and alarms in appropriate locations.,Local,Elliptical
132,Structural Stability,All equipment must meet sanitation guidelines.,International,Bench Press
133,Fire Prevention,Noise levels must remain within safe decibel ranges.,International,Bench Press
134,Sanitation Requirements,All equipment must meet sanitation guidelines.,Local,Treadmill
135,Noise Control,Adequate airflow and air quality must be ensured.,Local,Bench Press
136,Noise Control,Noise levels must remain within safe decibel ranges.,International,Elliptical
137,Sanitation Requirements,Surfaces must have anti-slip materials installed.,International,Bench Press
138,Mechanical Integrity,Adequate airflow and air quality must be ensured.,Local,Rowing Machine
139,Fire Prevention,Surfaces must have anti-slip materials installed.,International,Rowing Machine
140,Equipment Labeling,Adequate airflow and air quality must be ensured.,Local,Dumbbells
141,Structural Stability,All equipment must meet sanitation guidelines.,Local,Rowing Machine
142,Equipment Labeling,Regular checks for wear and tear to maintain mechanical safety.,International,Rowing Machine
143,Ventilation Standards,Structures must be checked for durability and load limits.,Local,Elliptical
144,Electrical Safety,All equipment must meet sanitation guidelines.,Local,Elliptical
145,Structural Stability,Adequate airflow and air quality must be ensured.,International,Treadmill
146,Equipment Labeling,Structures must be checked for durability and load limits.,International,Dumbbells
147,Mechanical Integrity,All equipment must meet sanitation guidelines.,International,Elliptical
148,Slip Resistance,Implement fire extinguishers and alarms in appropriate locations.,Local,Elliptical
149,Structural Stability,Clear and accessible emergency exits with proper lighting.,Local,Dumbbells
150,Sanitation Requirements,Regular checks for wear and tear to maintain mechanical safety.,International,Elliptical
151,Fire Prevention,Ensure all equipment is properly grounded and free from electrical hazards.,International,Treadmill
152,Noise Control,Surfaces must have anti-slip materials installed.,Local,Treadmill
153,Fire Prevention,Surfaces must have anti-slip materials installed.,International,Rowing Machine
154,Ventilation Standards,Ensure all equipment is properly grounded and free from electrical hazards.,Local,Elliptical
155,Fire Prevention,All equipment must be labeled with instructions and warnings.,Local,Bench Press
156,Mechanical Integrity,Surfaces must have anti-slip materials installed.,Local,Dumbbells
157,Sanitation Requirements,Noise levels must remain within safe decibel ranges.,International,Rowing Machine
158,Equipment Labeling,Surfaces must have anti-slip materials installed.,International,Elliptical
159,Electrical Safety,Regular checks for wear and tear to maintain mechanical safety.,International,Dumbbells
160,Equipment Labeling,Surfaces must have anti-slip materials installed.,Local,Bench Press
161,Mechanical Integrity,Adequate airflow and air quality must be ensured.,Local,Elliptical
162,Sanitation Requirements,Ensure all equipment is properly grounded and free from electrical hazards.,Local,Dumbbells
163,Mechanical Integrity,Ensure all equipment is properly grounded and free from electrical hazards.,International,Dumbbells
164,Equipment Labeling,All equipment must meet sanitation guidelines.,Local,Treadmill
165,Electrical Safety,Structures must be checked for durability and load limits.,International,Elliptical
166,Equipment Labeling,Clear and accessible emergency exits with proper lighting.,Local,Bench Press
167,Noise Control,Implement fire extinguishers and alarms in appropriate locations.,Local,Dumbbells
168,Equipment Labeling,Surfaces must have anti-slip materials installed.,International,Rowing Machine
169,Structural Stability,Adequate airflow and air quality must be ensured.,Local,Rowing Machine
170,Sanitation Requirements,Adequate airflow and air quality must be ensured.,Local,Elliptical
171,Mechanical Integrity,Implement fire extinguishers and alarms in appropriate locations.,Local,Bench Press
172,Slip Resistance,All equipment must be labeled with instructions and warnings.,Local,Treadmill
173,Slip Resistance,Clear and accessible emergency exits with proper lighting.,International,Rowing Machine
174,Noise Control,Surfaces must have anti-slip materials installed.,International,Treadmill
175,Fire Prevention,Structures must be checked for durability and load limits.,Local,Dumbbells
176,Fire Prevention,Noise levels must remain within safe decibel ranges.,Local,Treadmill
177,Structural Stability,Structures must be checked for durability and load limits.,Local,Bench Press
178,Sanitation Requirements,Clear and accessible emergency exits with proper lighting.,International,Elliptical
179,Structural Stability,Surfaces must have anti-slip materials installed.,Local,Rowing Machine
180,Mechanical Integrity,Implement fire extinguishers and alarms in appropriate locations.,Local,Elliptical
181,Emergency Access,All equipment must be labeled with instructions and warnings.,Local,Dumbbells
182,Mechanical Integrity,Clear and accessible emergency exits with proper lighting.,Local,Elliptical
183,Emergency Access,Clear and accessible emergency exits with proper lighting.,International,Rowing Machine
184,Fire Prevention,Ensure all equipment is properly grounded and free from electrical hazards.,International,Treadmill
185,Noise Control,Clear and accessible emergency exits with proper lighting.,Local,Treadmill
186,Structural Stability,Clear and accessible emergency exits with proper lighting.,International,Elliptical
187,Slip Resistance,Surfaces must have anti-slip materials installed.,Local,Bench Press
188,Structural Stability,All equipment must meet sanitation guidelines.,Local,Bench Press
189,Electrical Safety,Surfaces must have anti-slip materials installed.,Local,Treadmill
190,Electrical Safety,Clear and accessible emergency exits with proper lighting.,International,Rowing Machine
191,Mechanical Integrity,Clear and accessible emergency exits with proper lighting.,International,Elliptical
192,Structural Stability,Surfaces must have anti-slip materials installed.,International,Treadmill
193,Noise Control,Surfaces must have anti-slip materials installed.,International,Treadmill
194,Sanitation Requirements,Noise levels must remain within safe decibel ranges.,Local,Bench Press
195,Noise Control,All equipment must meet sanitation guidelines.,International,Treadmill
196,Emergency Access,Adequate airflow and air quality must be ensured.,International,Dumbbells
197,Structural Stability,Noise levels must remain within safe decibel ranges.,International,Rowing Machine
198,Emergency Access,Clear and accessible emergency exits with proper lighting.,Local,Dumbbells
199,Structural Stability,Clear and accessible emergency exits with proper lighting.,Local,Treadmill
